,Đường,Phường-Xã,Quận-Huyện,Thành Phố,Giá,Loại tin,Loại BDS,Chính chủ,Pháp lý,DT,Chiều ngang,Chiều dài,Số lầu,Số phòng ngủ,Hướng,Đường trước nhà,Phòng ăn,Nhà bếp,Sân thượng,Chổ để xe hơi
5376,Đường Đề Thám, Phường Phạm Ngũ Lão, Quận 1, Hồ Chí Minh,"15,9 tỷ",Cần bán,Nhà mặt tiền,---,---,80 m,4m,19m,4,6,_,10m,---,---,---,---
5377,Đường Nam Kỳ Khởi Nghĩa, Phường 6, Quận 3, Hồ Chí Minh,280 triệu,Cần bán,Nhà mặt tiền,---,---,2.050 m,"8,4m",40m,9,31,_,30m,---,---,---,---
5378,163/24 Đường Tô Hiến Thành, Phường 13, Quận 10, Hồ Chí Minh,23 tỷ,Cần bán,Nhà mặt tiền,---,---,120 m,6m,22m,4,6,_,12m,---,---,---,---
5379,Đường Nguyễn Huệ, Phường Bến Nghé, Quận 1, Hồ Chí Minh,185 tỷ,Cần bán,Nhà mặt tiền,---,---,112 m,8m,15m,8,8,_,30m,---,---,---,---
5380,Đường Trường Chinh, Phường 12, Quận Tân Bình, Hồ Chí Minh,26 tỷ,Cần bán,Nhà mặt tiền,---,---,120 m,4m,30m,5,10,_,30m,---,---,---,---
5381,Đường 3/2, Phường 12, Quận 10, Hồ Chí Minh,5 tỷ,Cần bán,Nhà mặt tiền,---,---,62 m,"3,2m",9m,2,2,_,6m,---,---,---,---
5382,Đường Liên Phường, Phường Phú Hữu, Quận 9, Hồ Chí Minh,61 triệu / m,Cần bán,"Đất nền, liền kề, đất dự án",---,Sổ hồng/ Sổ đỏ,132 m,6m,22m,---,---,Đông Bắc,12m,---,---,---,---
5383,Đường Bưng Ông Thoàn, Phường Phú Hữu, Quận 9, Hồ Chí Minh,"22,5 triệu / m",Cần bán,"Đất nền, liền kề, đất dự án",---,Sổ hồng/ Sổ đỏ,200 m,10m,20m,---,---,Đông Nam,12m,---,---,---,---
5384,Đường Liên Phường, Phường Phước Long B, Quận 9, Hồ Chí Minh,"60,5 triệu / m",Cần bán,"Đất nền, liền kề, đất dự án",---,Sổ hồng/ Sổ đỏ,125 m,5m,25m,---,---,Tây Nam,12m,---,---,---,---
5385,Đường Bưng Ông Thoàn, Phường Phú Hữu, Quận 9, Hồ Chí Minh,37 triệu / m,Cần bán,"Đất nền, liền kề, đất dự án",---,Sổ hồng/ Sổ đỏ,140 m,7m,20m,---,---,Tây Nam,12m,---,---,---,---
5386,Đường Liên Phường, Phường Phú Hữu, Quận 9, Hồ Chí Minh,"2,05 tỷ",Cần bán,Căn hộ chung cư,---,Sổ hồng/ Sổ đỏ,75 m,---,---,---,2,_,---,---,---,---,---
5387,Đường Liên Phường, Phường Phước Long B, Quận 9, Hồ Chí Minh,33 triệu / m,Cần bán,"Đất nền, liền kề, đất dự án",---,Giấy tờ hợp lệ,185 m,6m,"18,5m",---,---,Đông Nam,14m,---,---,---,---
5388,Đường Đỗ Xuân Hợp, Phường Phước Long B, Quận 9, Hồ Chí Minh,"51,5 triệu / m",Cần bán,"Đất nền, liền kề, đất dự án",---,Sổ hồng/ Sổ đỏ,90 m,"4,5m",20m,---,---,Đông Nam,12m,---,---,---,---
5389,Đường Liên Phường, Phường Phước Long B, Quận 9, Hồ Chí Minh,54 triệu / m,Cần bán,"Đất nền, liền kề, đất dự án",---,Sổ hồng/ Sổ đỏ,100 m,5m,20m,---,---,Đông Nam,12m,---,---,---,---
5390,Đường Bưng Ông Thoàn, Phường Phú Hữu, Quận 9, Hồ Chí Minh,50 triệu / m,Cần bán,"Đất nền, liền kề, đất dự án",---,---,61 m,---,---,---,---,_,12m,---,---,---,---
5391,Đường Liên Phường, Phường Phước Long B, Quận 9, Hồ Chí Minh,59 triệu / m,Cần bán,"Đất nền, liền kề, đất dự án",---,Sổ hồng/ Sổ đỏ,293 m,"14,3m","20,5m",---,---,Đông Nam,16m,---,---,---,---
5392,Đường Liên Phường, Phường Phú Hữu, Quận 9, Hồ Chí Minh,48 triệu / m,Cần bán,"Đất nền, liền kề, đất dự án",---,Sổ hồng/ Sổ đỏ,108 m,6m,18m,---,---,Tây Bắc,12m,---,---,---,---
5393,Đường Đỗ Xuân Hợp, Phường Phước Long B, Quận 9, Hồ Chí Minh,69 triệu / m,Cần bán,"Đất nền, liền kề, đất dự án",---,Sổ hồng/ Sổ đỏ,250 m,10m,25m,---,---,Tây Bắc,12m,---,---,---,---
5394,Đường Bưng Ông Thoàn, Phường Phú Hữu, Quận 9, Hồ Chí Minh,67 triệu / m,Cần bán,"Đất nền, liền kề, đất dự án",---,Sổ hồng/ Sổ đỏ,100 m,5m,20m,---,---,Tây Bắc,12m,---,---,---,---
5395,Đường Liên Phường, Phường Phú Hữu, Quận 9, Hồ Chí Minh,68 triệu / m,Cần bán,"Đất nền, liền kề, đất dự án",---,Sổ hồng/ Sổ đỏ,100 m,5m,20m,---,---,Đông Nam,12m,---,---,---,---
5396,Đường Bưng Ông Thoàn, Phường Phú Hữu, Quận 9, Hồ Chí Minh,"25,5 triệu / m",Cần bán,"Đất nền, liền kề, đất dự án",---,Sổ hồng/ Sổ đỏ,448 m,20m,"22,5m",---,---,Đông Nam,12m,---,---,---,---
5397,Đường Liên Phường, Phường Phú Hữu, Quận 9, Hồ Chí Minh,40 triệu / m,Cần bán,"Đất nền, liền kề, đất dự án",---,Giấy tờ hợp lệ,210 m,11m,19m,---,---,Đông Nam,12m,---,---,---,---
5398,Đường Liên Phường, Phường Phước Long B, Quận 9, Hồ Chí Minh,57 triệu / m,Cần bán,"Đất nền, liền kề, đất dự án",---,---,200 m,8m,25m,---,---,_,12m,---,---,---,---
5399,Đường Liên Phường, Phường Phước Long B, Quận 9, Hồ Chí Minh,"52,5 triệu / m",Cần bán,"Đất nền, liền kề, đất dự án",---,---,332 m,---,---,---,---,_,12m,---,---,---,---
5400,Đường Bưng Ông Thoàn, Phường Phú Hữu, Quận 9, Hồ Chí Minh,24 triệu / m,Cần bán,"Đất nền, liền kề, đất dự án",---,Giấy tờ hợp lệ,230 m,10m,23m,---,---,Đông Bắc,12m,---,---,---,---
5401,Đường Liên Phường, Phường Phước Long B, Quận 9, Hồ Chí Minh,"16,9 tỷ",Cần bán,"Shop, kiot, quán",---,Sổ hồng/ Sổ đỏ,100 m,5m,20m,3,5,Đông Bắc,30m,---,---,---,---
5402,Đường Đỗ Xuân Hợp, Phường Phước Long B, Quận 9, Hồ Chí Minh,"7,38 tỷ",Cần bán,"Đất nền, liền kề, đất dự án",---,Sổ hồng/ Sổ đỏ,90 m,"4,5m",20m,---,---,Tây Bắc,16m,---,---,---,---
5403,Đường Đỗ Xuân Hợp, Phường An Phú, Quận 2, Hồ Chí Minh,73 triệu / m,Cần bán,"Đất nền, liền kề, đất dự án",---,Sổ hồng/ Sổ đỏ,100 m,5m,20m,---,---,Đông,12m,---,---,---,---
5404,Đường Bưng Ông Thoàn, Phường Phú Hữu, Quận 9, Hồ Chí Minh,36 triệu / m,Cần bán,"Đất nền, liền kề, đất dự án",---,Sổ hồng/ Sổ đỏ,336 m,"17,5m",20m,---,---,Đông Nam,12m,---,---,---,---
5405,Đường Bưng Ông Thoàn, Phường Phú Hữu, Quận 9, Hồ Chí Minh,"39,5 triệu / m",Cần bán,"Đất nền, liền kề, đất dự án",---,Sổ hồng/ Sổ đỏ,324 m,18m,18m,---,---,Bắc,12m,---,---,---,---
5406,Đường Đỗ Xuân Hợp, Phường Phước Long B, Quận 9, Hồ Chí Minh,22 tỷ,Cần bán,Nhà mặt tiền,---,Sổ hồng/ Sổ đỏ,125 m,5m,25m,5,6,Tây Nam,30m,Y,Y,Y,Y
5407,Đường Bưng Ông Thoàn, Phường Phú Hữu, Quận 9, Hồ Chí Minh,"3,3 tỷ",Cần bán,"Đất thổ cư, đất ở",---,Sổ hồng/ Sổ đỏ,50 m,4m,"12,5m",---,---,Đông Nam,5m,---,---,---,---
5408,Đường Đỗ Xuân Hợp, Phường Phước Long B, Quận 9, Hồ Chí Minh,53 triệu / m,Cần bán,"Đất nền, liền kề, đất dự án",---,Sổ hồng/ Sổ đỏ,300 m,15m,20m,---,---,Đông Nam,12m,---,---,---,---
5409,Đường Gò Cát, Phường Phú Hữu, Quận 9, Hồ Chí Minh,5 triệu / m,Cần bán,"Đất nông, lâm nghiệp",---,Sổ hồng/ Sổ đỏ,5.665 m,50m,110m,---,---,Đông Bắc,7m,---,---,---,---
5410,Đường Liên Phường, Phường Phước Long B, Quận 9, Hồ Chí Minh,28 tỷ,Cần bán,Nhà mặt tiền,---,Sổ hồng/ Sổ đỏ,230 m,8m,22m,3,4,Đông Bắc,30m,Y,Y,Y,Y
5411,Đường Đỗ Xuân Hợp, Phường Phước Long B, Quận 9, Hồ Chí Minh,"11,2 tỷ",Cần bán,"Đất nền, liền kề, đất dự án",---,Sổ hồng/ Sổ đỏ,127 m,5m,25m,---,---,Đông Nam,12m,---,---,---,---
5412,Đường D1, Phường Phước Long B, Quận 9, Hồ Chí Minh,"46,5 triệu / m",Cần bán,"Đất nền, liền kề, đất dự án",---,Giấy tờ hợp lệ,156 m,6m,26m,---,---,Đông Nam,25m,---,---,---,---
5413,Đường Đỗ Xuân Hợp, Phường Phú Hữu, Quận 9, Hồ Chí Minh,39 triệu / m,Cần bán,"Đất nền, liền kề, đất dự án",---,Sổ hồng/ Sổ đỏ,447 m,14m,32m,---,---,Đông Bắc,12m,---,---,---,---
5414,Đường Võ Chí Công, Phường Phước Long B, Quận 9, Hồ Chí Minh,"6,95 tỷ",Cần bán,"Biệt thự, nhà liền kề",---,Sổ hồng/ Sổ đỏ,75 m,5m,15m,3,5,Tây Nam,16m,---,---,---,---
5415,Đường Liên Phường, Phường Phú Hữu, Quận 9, Hồ Chí Minh,50 triệu / m,Cần bán,"Đất nền, liền kề, đất dự án",---,Sổ hồng/ Sổ đỏ,150 m,6m,25m,---,---,Tây Nam,12m,---,---,---,---
5416,Đường Liên Phường, Phường Phú Hữu, Quận 9, Hồ Chí Minh,"6,8 tỷ",Cần bán,"Đất nền, liền kề, đất dự án",---,Sổ hồng/ Sổ đỏ,100 m,5m,20m,---,---,Đông Nam,12m,---,---,---,---
5417,Đường Võ Chí Công, Phường Phước Long B, Quận 9, Hồ Chí Minh,56 triệu / m,Cần bán,"Đất nền, liền kề, đất dự án",---,Giấy tờ hợp lệ,220 m,10m,22m,---,---,Đông Nam,16m,---,---,---,---
5418,Đường Bưng Ông Thoàn, Phường Phú Hữu, Quận 9, Hồ Chí Minh,"3,8 tỷ",Cần bán,"Đất thổ cư, đất ở",---,Sổ hồng/ Sổ đỏ,200 m,10m,20m,---,---,Đông Bắc,10m,---,---,---,---
5419,Đường D3, Phường Phước Long B, Quận 9, Hồ Chí Minh,59 triệu / m,Cần bán,"Đất nền, liền kề, đất dự án",---,Sổ hồng/ Sổ đỏ,240 m,12m,20m,---,---,Tây Bắc,12m,---,---,---,---
5420,Đường Đỗ Xuân Hợp, Phường Phước Long B, Quận 9, Hồ Chí Minh,"60,5 triệu / m",Cần bán,"Đất nền, liền kề, đất dự án",---,Sổ hồng/ Sổ đỏ,238 m,13m,18m,---,---,Đông Bắc,12m,---,---,---,---
5421,Đường Liên Phường, Phường Phước Long B, Quận 9, Hồ Chí Minh,"6,15 tỷ",Cần bán,"Biệt thự, nhà liền kề",---,Sổ hồng/ Sổ đỏ,90 m,5m,18m,3,4,Tây Bắc,16m,Y,Y,Y,Y
5422,Đường Phạm Văn Đồng, Phường Linh Tây, Thành phố Thủ Đức, Hồ Chí Minh,"2,1 tỷ",Cần bán,Căn hộ chung cư,---,Sổ hồng/ Sổ đỏ,58 m,5m,10m,7,2,_,32m,---,---,---,---
5423,Đường Lê Hồng Phong, Phường 10, Quận 10, Hồ Chí Minh,"5,2 tỷ",Cần bán,Nhà trong hẻm,---,Sổ hồng/ Sổ đỏ,48 m,4m,12m,2,3,_,5m,Y,Y,Y,Y
5424,Đường Hoàng Văn Thụ, Phường 3, Quận Tân Bình, Hồ Chí Minh,4 tỷ,Cần bán,Nhà trong hẻm,---,Sổ hồng/ Sổ đỏ,48 m,4m,12m,2,4,_,8m,---,---,---,---
5425,Đường Bùi Thị Xuân, Phường 3, Quận Tân Bình, Hồ Chí Minh,"5,5 tỷ",Cần bán,Nhà trong hẻm,---,Sổ hồng/ Sổ đỏ,50 m,4m,---,3,4,_,6m,---,---,---,---
5426,Đường Đỗ Xuân Hợp, Phường Phước Long B, Quận 9, Hồ Chí Minh,89 triệu / m,Cần bán,"Đất nền, liền kề, đất dự án",---,Sổ hồng/ Sổ đỏ,125 m,5m,25m,---,---,Đông Bắc,12m,---,---,---,---
5427,Đường Kênh Tân Hóa, Phường Hòa Thạnh, Quận Tân Phú, Hồ Chí Minh,"4,2 tỷ",Cần bán,Nhà trong hẻm,---,Sổ hồng/ Sổ đỏ,60 m,4m,15m,2,4,_,6m,---,---,---,---
5428,Đường Lê Văn Sỹ, Phường 12, Quận 3, Hồ Chí Minh,18 tỷ,Cần bán,Nhà trong hẻm,---,Sổ hồng/ Sổ đỏ,267 m,"3,57m","14,4m",4,5,Đông Nam,6m,---,---,Y,Y
5429,Đường Phan Huy Ích, Phường 15, Quận Tân Bình, Hồ Chí Minh,"4,5 tỷ",Cần bán,Nhà trong hẻm,---,Sổ hồng/ Sổ đỏ,40 m,4m,"11,5m",3,3,_,6m,---,---,---,---
5430,Đường Phạm Văn Đồng, Phường Hiệp Bình Chánh, Thành phố Thủ Đức, Hồ Chí Minh,36 triệu / m,Cần bán,Căn hộ chung cư,---,Sổ hồng/ Sổ đỏ,70 m,5m,14m,20,2,_,30m,Y,Y,Y,Y
5431,Đường Phổ Quang, Phường 2, Quận Tân Bình, Hồ Chí Minh,"4,3 tỷ",Cần bán,Nhà trong hẻm,---,Sổ hồng/ Sổ đỏ,50 m,4m,"12,5m",3,3,_,8m,---,---,---,---
5432,Đường Lũy Bán Bích, Phường Tân Thành, Quận Tân Phú, Hồ Chí Minh,4 tỷ,Cần bán,Nhà trong hẻm,---,Sổ hồng/ Sổ đỏ,60 m,4m,15m,3,4,_,8m,---,---,---,---
5433,Đường Trần Thánh Tông, Phường 15, Quận Tân Bình, Hồ Chí Minh,"5,2 tỷ",Cần bán,Nhà trong hẻm,---,Sổ hồng/ Sổ đỏ,50 m,---,---,3,4,_,6m,---,---,---,---
5434,Đường Lý Thường Kiệt, Phường 6, Quận Tân Bình, Hồ Chí Minh,"5,2 tỷ",Cần bán,Nhà trong hẻm,---,Sổ hồng/ Sổ đỏ,60 m,4m,15m,2,4,_,6m,---,---,---,---
5435,Đường Ngô Gia Tự, Phường 4, Quận 10, Hồ Chí Minh,"5,9 tỷ",Cần bán,Nhà trong hẻm,---,Giấy tờ hợp lệ,52 m,---,---,3,2,_,4m,---,---,---,---
5436,Đường Tôn Đức Thắng, Phường Bến Nghé, Quận 1, Hồ Chí Minh,350 triệu / m,Cần bán,Căn hộ chung cư,---,Sổ hồng/ Sổ đỏ,50 m,5m,10m,9,2,_,30m,Y,Y,Y,Y
5437,Đường Lê Văn Sỹ, Phường 1, Quận Tân Bình, Hồ Chí Minh,"4,2 tỷ",Cần bán,Nhà trong hẻm,---,Sổ hồng/ Sổ đỏ,48 m,4m,12m,2,4,_,6m,---,---,---,---
5438,Đường Kênh Tân Hóa, Phường Hòa Thạnh, Quận Tân Phú, Hồ Chí Minh,"5,5 tỷ",Cần bán,Nhà trong hẻm,---,Sổ hồng/ Sổ đỏ,60 m,5m,14m,2,4,_,8m,Y,Y,Y,Y
5439,Đường Hoàng Văn Thụ, Phường 3, Quận Tân Bình, Hồ Chí Minh,"4,8 tỷ",Cần bán,Nhà trong hẻm,---,---,50 m,---,---,3,4,_,8m,---,---,---,---
5440,Đường Cách Mạng Tháng Tám, Phường 7, Quận Tân Bình, Hồ Chí Minh,"5,6 tỷ",Cần bán,Nhà trong hẻm,---,Sổ hồng/ Sổ đỏ,48 m,5m,9m,3,3,_,6m,Y,Y,Y,Y
5441,Đường Phan Đình Phùng, Phường 1, Quận Phú Nhuận, Hồ Chí Minh,"5,5 tỷ",Cần bán,Nhà trong hẻm,---,Sổ hồng/ Sổ đỏ,42 m,"4,5m",10m,3,3,Nam,4m,Y,Y,Y,Y
5442,Đường Huỳnh Văn Bánh, Phường 10, Quận Phú Nhuận, Hồ Chí Minh,"5,6 tỷ",Cần bán,Nhà trong hẻm,---,Sổ hồng/ Sổ đỏ,50 m,"4,5m",11m,2,3,_,4m,Y,Y,Y,Y
5443,Đường Lạc Long Quân, Phường 8, Quận Tân Bình, Hồ Chí Minh,"6,5 tỷ",Cần bán,Nhà trong hẻm,---,Sổ hồng/ Sổ đỏ,60 m,"3,6m",17m,4,4,_,6m,Y,Y,Y,Y
5444,Đường Cầm Bá Thước, Phường 7, Quận Phú Nhuận, Hồ Chí Minh,"4,8 tỷ",Cần bán,Nhà trong hẻm,---,Sổ hồng/ Sổ đỏ,32 m,"4,5m",7m,3,3,_,4m,Y,Y,Y,Y
5445,Đường Hoàng Văn Thụ, Phường 8, Quận Phú Nhuận, Hồ Chí Minh,4 tỷ,Cần bán,Nhà trong hẻm,---,---,30 m,"3,1m",9m,2,2,_,3m,Y,Y,Y,---
5446,Đường Trương Quốc Dung, Phường 10, Quận Phú Nhuận, Hồ Chí Minh,"5,5 tỷ",Cần bán,Nhà trong hẻm,---,Sổ hồng/ Sổ đỏ,45 m,"4,5m",10m,2,3,_,5m,Y,Y,Y,Y
5447,Đường Phan Xích Long, Phường 1, Quận Phú Nhuận, Hồ Chí Minh,"6,8 tỷ",Cần bán,Nhà trong hẻm,---,Sổ hồng/ Sổ đỏ,52 m,"4,5m",11m,4,4,_,5m,Y,Y,Y,Y
5448,Đường Phan Đình Phùng, Phường 1, Quận Phú Nhuận, Hồ Chí Minh,6 tỷ,Cần bán,Nhà trong hẻm,---,Sổ hồng/ Sổ đỏ,50 m,4m,12m,3,4,_,5m,Y,Y,Y,Y
5449,Đường Phan Xích Long, Phường 7, Quận Phú Nhuận, Hồ Chí Minh,"6,5 tỷ",Cần bán,Nhà trong hẻm,---,Sổ hồng/ Sổ đỏ,60 m,5m,12m,1,3,_,5m,Y,Y,Y,Y
5450,Đường Lý Thường Kiệt, Phường 9, Quận Tân Bình, Hồ Chí Minh,"5,9 tỷ",Cần bán,Nhà trong hẻm,---,Sổ hồng/ Sổ đỏ,50 m,5m,10m,3,3,_,8m,Y,Y,Y,Y
5451,Đường Trường Sơn, Phường 4, Quận Tân Bình, Hồ Chí Minh,5 tỷ,Cần bán,Nhà trong hẻm,---,Sổ hồng/ Sổ đỏ,60 m,5m,12m,3,4,_,8m,---,---,---,---
5452,Đường Nguyễn Sơn, Phường Phú Thọ Hòa, Quận Tân Phú, Hồ Chí Minh,"3,5 tỷ",Cần bán,Nhà trong hẻm,---,---,48 m,4m,12m,3,4,_,6m,---,---,---,---
5453,Đường Bùi Thị Xuân, Phường 2, Quận Tân Bình, Hồ Chí Minh,"4,5 tỷ",Cần bán,Nhà trong hẻm,---,Sổ hồng/ Sổ đỏ,36 m,5m,7m,2,2,_,3m,Y,Y,Y,Y
5454,Đường Thiên Phước, Phường 9, Quận Tân Bình, Hồ Chí Minh,6 tỷ,Cần bán,Nhà trong hẻm,---,Sổ hồng/ Sổ đỏ,52 m,4m,"12,5m",3,4,_,6m,Y,Y,Y,Y
5455,Đường Nguyễn Bặc, Phường 3, Quận Tân Bình, Hồ Chí Minh,5 tỷ,Cần bán,Nhà trong hẻm,---,Sổ hồng/ Sổ đỏ,40 m,4m,"12,5m",4,5,_,4m,Y,Y,Y,Y
5456,Đường Đặng Văn Ngữ, Phường 10, Quận Phú Nhuận, Hồ Chí Minh,"6,2 tỷ",Cần bán,Nhà trong hẻm,---,Sổ hồng/ Sổ đỏ,54 m,"4,5m",12m,2,3,_,5m,Y,Y,Y,Y
5457,Đường Hồng Hạc, Phường 10, Quận Tân Bình, Hồ Chí Minh,"3,3 tỷ",Cần bán,Nhà trong hẻm,---,Sổ hồng/ Sổ đỏ,30 m,4m,8m,2,3,_,3m,Y,Y,Y,Y
5458,Đường Trường Sơn, Phường 4, Quận Tân Bình, Hồ Chí Minh,"4,6 tỷ",Cần bán,Nhà trong hẻm,---,Sổ hồng/ Sổ đỏ,48 m,4m,12m,3,4,_,6m,---,---,---,---
5459,Đường Thăng Long, Phường 4, Quận Tân Bình, Hồ Chí Minh,"6,4 tỷ",Cần bán,Nhà trong hẻm,---,Sổ hồng/ Sổ đỏ,60 m,"4,3m",14m,3,3,_,6m,Y,Y,Y,Y
5460,Đường Hồng Hạc, Phường 10, Quận Tân Bình, Hồ Chí Minh,"4,5 tỷ",Cần bán,Nhà trong hẻm,---,Sổ hồng/ Sổ đỏ,48 m,4m,12m,2,3,_,3m,Y,Y,Y,Y
5461,Đường Huỳnh Văn Bánh, Phường 13, Quận Phú Nhuận, Hồ Chí Minh,7 tỷ,Cần bán,Nhà trong hẻm,---,Sổ hồng/ Sổ đỏ,50 m,"5,6m",9m,1,2,_,6m,Y,Y,Y,Y
5462,Đường Lạc Long Quân, Phường 8, Quận Tân Bình, Hồ Chí Minh,"3,9 tỷ",Cần bán,Nhà trong hẻm,---,Sổ hồng/ Sổ đỏ,42 m,4m,"10,5m",2,3,_,3m,Y,Y,Y,---
5463,Đường Trương Quốc Dung, Phường 8, Quận Phú Nhuận, Hồ Chí Minh,4 tỷ,Cần bán,Nhà trong hẻm,---,Sổ hồng/ Sổ đỏ,32 m,4m,8m,2,3,_,3m,Y,Y,Y,---
5464,Đường Nguyễn Kiệm, Phường 3, Quận Phú Nhuận, Hồ Chí Minh,7 tỷ,Cần bán,Nhà trong hẻm,---,Sổ hồng/ Sổ đỏ,60 m,5m,12m,2,4,_,6m,Y,Y,Y,Y
5465,Đường Lê Trọng Tấn, Phường Tây Thạnh, Quận Tân Phú, Hồ Chí Minh,"4,8 tỷ",Cần bán,Nhà trong hẻm,---,Sổ hồng/ Sổ đỏ,50 m,4m,"12,5m",4,4,_,8m,Y,Y,Y,Y
5466,Đường Bành Văn Trân, Phường 7, Quận Tân Bình, Hồ Chí Minh,"7,2 tỷ",Cần bán,Nhà mặt tiền,---,Sổ hồng/ Sổ đỏ,60 m,5m,12m,3,4,_,6m,Y,Y,Y,Y
5467,Đường Cách Mạng Tháng Tám, Phường 7, Quận Tân Bình, Hồ Chí Minh,6 tỷ,Cần bán,Nhà trong hẻm,---,Sổ hồng/ Sổ đỏ,50 m,4m,12m,3,4,_,6m,Y,Y,Y,Y
5468,Đường Nguyễn Trọng Tuyển, Phường 15, Quận Phú Nhuận, Hồ Chí Minh,4 tỷ,Cần bán,Nhà trong hẻm,---,Sổ hồng/ Sổ đỏ,36 m,"3,45m","10,55m",1,2,_,4m,Y,Y,Y,---
5469,Đường Phạm Văn Hai, Phường 3, Quận Tân Bình, Hồ Chí Minh,9 tỷ,Cần bán,Nhà trong hẻm,---,Sổ hồng/ Sổ đỏ,93 m,"5,4m","17,5m",2,3,_,6m,---,---,---,---
5470,Đường Đất Thánh, Phường 6, Quận Tân Bình, Hồ Chí Minh,6 tỷ,Cần bán,Nhà trong hẻm,---,Sổ hồng/ Sổ đỏ,60 m,4m,15m,3,4,_,3m,Y,Y,Y,---
5471,Đường Lạc Long Quân, Phường 9, Quận Tân Bình, Hồ Chí Minh,"3,8 tỷ",Cần bán,Nhà trong hẻm,---,Sổ hồng/ Sổ đỏ,40 m,4m,10m,2,3,_,3m,Y,Y,Y,Y
5472,Đường Trần Huy Liệu, Phường 8, Quận Phú Nhuận, Hồ Chí Minh,5 tỷ,Cần bán,Nhà trong hẻm,---,Sổ hồng/ Sổ đỏ,40 m,4m,10m,2,3,_,5m,Y,Y,Y,---
5473,Đường Võ Thành Trang, Phường 11, Quận Tân Bình, Hồ Chí Minh,"3,6 tỷ",Cần bán,Nhà trong hẻm,---,Sổ hồng/ Sổ đỏ,38 m,4m,"9,5m",2,2,_,3m,Y,Y,Y,Y
5474,Đường Hoàng Văn Thụ, Phường 9, Quận Phú Nhuận, Hồ Chí Minh,5 tỷ,Cần bán,Nhà trong hẻm,---,Sổ hồng/ Sổ đỏ,42 m,4m,10m,2,3,_,6m,Y,Y,Y,Y
5475,Đường Lạc Long Quân, Phường 8, Quận Tân Bình, Hồ Chí Minh,"3,9 tỷ",Cần bán,Nhà trong hẻm,---,Sổ hồng/ Sổ đỏ,45 m,4m,"11,2m",2,3,_,3m,Y,Y,Y,Y
5476,Đường Phạm Văn Hai, Phường 3, Quận Tân Bình, Hồ Chí Minh,6 tỷ,Cần bán,Nhà trong hẻm,---,Sổ hồng/ Sổ đỏ,66 m,5m,14m,2,3,_,6m,Y,Y,Y,Y
5477,Đường Bùi Thị Xuân, Phường 5, Quận Tân Bình, Hồ Chí Minh,5 tỷ,Cần bán,Nhà trong hẻm,---,Sổ hồng/ Sổ đỏ,58 m,"3,6m","16,5m",2,5,_,3m,Y,Y,Y,---
5478,Đường Phan Đình Phùng, Phường 1, Quận Phú Nhuận, Hồ Chí Minh,5 tỷ,Cần bán,Nhà trong hẻm,---,Sổ hồng/ Sổ đỏ,45 m,"4,1m","10,5m",3,3,_,6m,Y,Y,Y,Y
5479,Đường Hoàng Văn Thụ, Phường 8, Quận Phú Nhuận, Hồ Chí Minh,4 tỷ,Cần bán,Nhà trong hẻm,---,Sổ hồng/ Sổ đỏ,42 m,4m,"10,5m",1,2,_,3m,Y,Y,Y,---
5480,Đường Phú Thọ Hòa, Phường Phú Thọ Hòa, Quận Tân Phú, Hồ Chí Minh,"5,5 tỷ",Cần bán,Nhà trong hẻm,---,Sổ hồng/ Sổ đỏ,86 m,"4,1m",21m,1,4,_,4m,Y,Y,Y,Y
5481,Đường Khuông Việt, Phường Phú Trung, Quận Tân Phú, Hồ Chí Minh,"4,3 tỷ",Cần bán,Nhà trong hẻm,---,Sổ hồng/ Sổ đỏ,60 m,"3,5m",17m,1,3,_,3m,Y,Y,Y,---
5482,Đường Phan Đình Phùng, Phường 1, Quận Phú Nhuận, Hồ Chí Minh,"3,5 tỷ",Cần bán,Nhà trong hẻm,---,Sổ hồng/ Sổ đỏ,36 m,4m,9m,1,2,_,3m,Y,Y,Y,Y
5483,Đường Tân Thành, Phường Tân Thành, Quận Tân Phú, Hồ Chí Minh,4 tỷ,Cần bán,Nhà trong hẻm,---,Sổ hồng/ Sổ đỏ,48 m,4m,12m,1,2,_,4m,Y,Y,Y,Y
5484,Đường Tân Sơn Nhì, Phường Tân Sơn Nhì, Quận Tân Phú, Hồ Chí Minh,3 tỷ,Cần bán,Nhà trong hẻm,---,Sổ hồng/ Sổ đỏ,26 m,4m,"6,5m",4,3,_,5m,Y,Y,Y,Y
5485,Đường Lũy Bán Bích, Phường Tân Thới Hòa, Quận Tân Phú, Hồ Chí Minh,7 tỷ,Cần bán,Nhà trong hẻm,---,Sổ hồng/ Sổ đỏ,80 m,4m,16m,4,9,_,5m,Y,Y,Y,Y
5486,Đường Ngô Quyền, Phường 6, Quận 10, Hồ Chí Minh,"7,5 tỷ",Cần bán,Nhà trong hẻm,---,Sổ hồng/ Sổ đỏ,79 m,"6,5m","12,5m",3,4,_,3m,Y,Y,Y,Y
5487,Đường Hoàng Văn Thụ, Phường 8, Quận Phú Nhuận, Hồ Chí Minh,"4,2 tỷ",Cần bán,Nhà trong hẻm,---,Sổ hồng/ Sổ đỏ,35 m,"3,5m",10m,1,2,_,3m,Y,Y,Y,---
5488,Đường Âu Cơ, Phường Tân Thành, Quận Tân Phú, Hồ Chí Minh,3 tỷ,Cần bán,Nhà trong hẻm,---,Sổ hồng/ Sổ đỏ,38 m,"4,1m","9,1m",1,2,_,3m,Y,Y,Y,---
